GP_Type,Country,Practice_Type,Gender,Age,'\'Sample Count\'','\'Average Tot Expenses\'',EER,'\'Average Total Expenses\'','\'Average Office and General Business\'','\'Average Employee\'','\'Average Interest\'','\'Average Other\'','Average Net Capital Allowances\'','\'\%Zero Employee\'','\'\%Zero Car and Travel\'','\'Median Income Before Tax\''
Salaried,Scotland,Non-dispensing,Male,<40,-0.483543,-1.461032,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Male,>=40<50,-0.483543,-1.386412,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Male,>=50<60,-0.483543,-1.400118,0,-0,0,0,-0,0,0,-0,0,'\'(95125-145050]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.339943,-1.460271,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.411743,-1.455702,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,>=40<50,-0.483543,-1.462555,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,>=50<60,-0.483543,-1.476261,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.447643,-1.451895,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.483543,-1.463316,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.483543,-1.444281,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.483543,-1.461032,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
